month,p,f
1 ,105.46,P
2 ,104.99,P
3 ,105.02,P
4 ,104.78,R
5 ,104.41,R
6 ,104.81,R
7 ,104.47,R
8 ,105.12,R
9 ,103.12,R
10 ,103.7,P
11 ,104.47,P
12 ,105.2,R
13 ,105.11,R
14 ,104.39,R
15 ,103.74,R
16 ,103.84,P
17 ,103.13,R
18 ,102.89,R
19 ,102.41,R
20 ,102.65,R
21 ,102.29,R
22 ,103.56,R
23 ,103.92,R
24 ,104.87,R
25 ,104.8,R
26 ,104.85,R
27 ,104.4,R
28 ,104.43,R
29 ,103.9,R
30 ,103.74,R
31 ,103.05,P
32 ,102.86,R
33 ,103.26,R
34 ,102.94,R
35 ,103.04,R
36 ,103.78,P
37 ,104.06,R
38 ,102.72,R
39 ,102.59,R
40 ,102.75,P
41 ,102.24,P
42 ,102.05,R
43 ,101.42,R
44 ,102.9,R
45 ,102.41,R
46 ,102.59,P
47 ,102.34,P
48 ,103.12,P
49 ,103.19,P
50 ,103.53,P
51 ,102.53,P
52 ,102.14,P
53 ,101.49,P
54 ,100.99,P
55 ,100.06,P
56 ,99.94,P
57 ,101.28,P
58 ,100.97,P
59 ,100.74,P
60 ,100.77,P
61 ,100.23,P
62 ,100.1,P
63 ,100.07,P
64 ,100.37,P
65 ,99.75,P
66 ,99.56,P
67 ,98.82,P
68 ,99.69,P
69 ,98.95,P
70 ,98.96,P
71 ,99.71,P
72 ,99.52,P
73 ,98.87,P
74 ,98.77,P
75 ,98.76,P
76 ,98.45,P
77 ,98.12,P
78 ,98.27,P
79 ,97.45,P
80 ,98.39,P
81 ,97.87,P
82 ,97.75,P
83 ,98.22,P
84 ,98.96,P
85 ,98.58,P
86 ,99.24,P
87 ,97.48,P
88 ,97.29,P
89 ,97.38,P
90 ,96.97,P
91 ,96.24,P
92 ,96.13,P
93 ,97.62,P
94 ,97.99,P
95 ,99.83,P
96 ,100.87,P
97 ,99.46,P
98 ,100.06,P
99 ,99.81,P
100 ,99.25,P
101 ,97.47,P
102 ,97.42,P
103 ,96.38,P
104 ,97.43,P
105 ,96.2,P
106 ,96.77,P
107 ,97.94,P
108 ,98.52,P
109 ,96.47,P
110 ,95.58,P
111 ,94.33,P
112 ,94.55,P
113 ,93.98,P
114 ,93.79,P
115 ,92.72,P
116 ,93.81,P
117 ,93.45,P
118 ,93.65,P
119 ,93.45,P
120 ,93.53,P
121 ,93.56,P
122 ,94.07,P
123 ,94.64,P
124 ,94.43,P
125 ,94,P
126 ,93.15,P
127 ,91.94,P
128 ,92.2,P
129 ,93.12,P
130 ,93.02,P
131 ,93.23,P
132 ,94.66,P
133 ,94.73,P
134 ,94.6,P
135 ,93.9,P
136 ,92.82,P
137 ,92.53,P
138 ,92.02,P
139 ,91.56,P
140 ,91.3,P
141 ,90.7,P
142 ,91.01,P
143 ,90.95,P
144 ,92.13,P
145 ,91.83,P
146 ,91.34,P
147 ,91.7,P
148 ,90.66,P
149 ,90.45,P
150 ,90.53,P
151 ,89.5,P
152 ,89.56,P
153 ,90.26,P
154 ,89.56,P
155 ,89.58,P
156 ,89.98,P
157 ,89.34,P
158 ,89.07,P
159 ,88.74,P
160 ,89.11,P
161 ,89.63,P
162 ,89.68,P
163 ,88.71,P
164 ,88.99,P
165 ,90.25,P
166 ,89.61,P
167 ,90,P
168 ,90.03,P
169 ,89.53,P
170 ,89.59,P
171 ,89.62,P
172 ,89.61,P
173 ,89.34,P
174 ,89.78,P
175 ,88.87,P
176 ,90.36,P
177 ,89.28,P
178 ,88.93,P
179 ,90.51,P
180 ,91.59,P
181 ,90.22,P
182 ,89.84,P
183 ,89.25,P
184 ,89.52,P
185 ,89.57,P
186 ,89.59,P
187 ,88.86,P
188 ,89.1,P
189 ,90.8,P
190 ,90.46,P
191 ,91.55,P
192 ,90.71,P
193 ,90.69,P
194 ,89.44,P
195 ,89.16,P
196 ,89.65,P
197 ,89.77,P
198 ,89.22,P
199 ,88.48,P
200 ,90.02,P
201 ,88.71,P
202 ,88.99,P
203 ,89.53,P
204 ,89.79,P
205 ,89.24,P
206 ,89.19,P
207 ,87.89,P
208 ,88.45,P
209 ,88.36,P
210 ,88.12,P
211 ,87.5,P
212 ,89.2,P
213 ,88.26,P
214 ,88.86,P
215 ,90.34,P
216 ,89.43,P
217 ,88.72,P
218 ,88.18,P
219 ,88.62,P
220 ,89.2,P
221 ,87.93,P
222 ,88.21,P
223 ,87.91,P
224 ,87.37,P
225 ,87.91,P
226 ,87.02,P
227 ,86.94,P
228 ,87.18,P
229 ,88.36,P
230 ,87.79,P
231 ,87.88,P
232 ,87.93,P
233 ,86.49,P
234 ,86.38,P
235 ,85.79,P
236 ,87.11,P
237 ,86.19,P
238 ,86.79,P
239 ,87.4,P
240 ,87.46,P
241 ,87.81,P
242 ,88.3,P
243 ,85.06,P
244 ,86.35,P
245 ,85.84,P
246 ,85.95,P
247 ,84.86,P
248 ,85.36,P
249 ,84.52,P
250 ,84.65,P
251 ,84.69,P
252 ,84.35,P
253 ,84.56,P
254 ,84.06,P
255 ,83.85,P
256 ,84.34,P
257 ,83.44,P
258 ,83.59,P
259 ,82.38,P
260 ,82.27,P
261 ,82.63,P
262 ,80.95,P
263 ,81.25,P
264 ,82,P
265 ,82.9,P
266 ,82.65,P
267 ,80.74,P
268 ,80.58,P
269 ,80.78,P
270 ,80.04,P
271 ,79.32,P
272 ,79.54,P
273 ,78.52,P
274 ,78.86,P
275 ,78.21,P
276 ,78.04,P
277 ,77.7,P
278 ,77.2,P
279 ,77.53,P
280 ,78.89,P
281 ,77.39,P
282 ,77.65,P
283 ,76.77,P
284 ,76.53,P
285 ,76.3,P
286 ,75.37,P
287 ,75.87,P
288 ,77.1,P
289 ,77.13,P
290 ,74.72,P
291 ,75.06,P
292 ,75.61,P
293 ,75.82,P
294 ,75.56,P
295 ,74.35,P
296 ,74.26,P
297 ,73.61,P
